startskog,metod,ålder,Alla matsvampar,Goda matsvampar,Signal + rödlistade,Atheliales,Boletales,Cantharellales,Cortinariaceae,Russulales,Thelephorales,Ascomyceter,Övriga svampar,Mängd mykorrhiza
kalavverkad,blädning,90.1,17.95625,6.4175,0.177805833,23.71422018,10.37155963,0.502201835,12.18853211,12.71100917,4.600917431,18.63761468,2.273944954,85
kalavverkad,blädning,100,19.2225,6.95325,0.197736,25.16663653,11.00018083,0.55920434,12.88481013,13.52929476,4.957323689,19.1994575,2.703092224,90
kalavverkad,luckhuggning,-7,26,9,0.3,26,12,0.7,16,17,5,20,3.3,100
kalavverkad,luckhuggning,0,26,9,0.3,26,12,0.7,16,17,5,20,3.3,100
kalavverkad,luckhuggning,0.1,16.34375,5.6625,0.187625,19.43663227,8.986750114,0.521380048,11.99471193,12.70028322,3.817512032,15.04723614,2.508415842,75
kalavverkad,luckhuggning,10,18.77791667,6.50675,0.2131375,22.21067356,10.20535038,0.56,13.45851223,14.25941756,4.475161735,17.03368756,2.817378641,85
kalavverkad,luckhuggning,20,22.48333333,7.7425,0.2432,25.4125,11.60357143,0.59,14.69107143,15.4375,4.851785714,19.20357143,3.180803571,95
kalavverkad,luckhuggning,30,25.66666667,8.9,0.264,27.16129032,12.19354839,0.622580645,15.12903226,15.83870968,5.193548387,20.96774194,2.893548387,100
kalavverkad,luckhuggning,30.1,16.09375,5.5875,0.160625,20.46779448,9.158712922,0.452934789,11.22335257,11.67342973,3.986397668,15.90272618,2.147142857,75
kalavverkad,luckhuggning,40,18.57958333,6.538625,0.1845775,23.37251037,10.39954996,0.505671992,12.58963606,13.10099864,4.659959459,17.80996039,2.603085502,85
kalavverkad,luckhuggning,50,22.19833333,7.850166667,0.214858333,26.17814114,11.79406196,0.56,13.91807229,14.67185886,5.04595525,19.78975904,3.020869191,95
kalavverkad,luckhuggning,60,25.33333333,9,0.24,27.6875,12.1875,0.596875,14.59375,15.3125,5.28125,21.59375,2.746875,100
kalavverkad,luckhuggning,60.1,15.84375,5.6625,0.142625,20.92776789,9.152887633,0.430805087,10.75636344,11.21744875,4.060303536,16.44767026,2.018807339,75
kalavverkad,luckhuggning,70,18.15458333,6.566958333,0.169773333,23.78010059,10.39413457,0.486874242,12.1749317,12.78390896,4.684203861,18.14167858,2.594421338,85
kalavverkad,luckhuggning,80,21.62833333,7.9325,0.202825,26.50708263,11.78608769,0.55,13.5851602,14.52234401,5.039966273,19.95320405,3.041121417,95
kalavverkad,luckhuggning,90,25.5,9.03,0.235,27.83333333,12.18518519,0.589814815,14.44444444,15.25,5.277777778,21.65740741,2.762037037,100
kalavverkad,luckhuggning,90.1,15.84375,5.6625,0.142625,20.92776789,9.152887633,0.430805087,10.75636344,11.21744875,4.060303536,16.44767026,2.018807339,75
