startskog,metod,ålder,Alla matsvampar,Goda matsvampar,Signal + rödlistade,Atheliales,Boletales,Cantharellales,Cortinariaceae,Russulales,Thelephorales,Ascomyceter,övrigt,Mängd mykorrhiza
Inte kalavverkad,luckhuggning,30,30.66666667,9.733333333,0.439,21.42903039,11.34100109,0.622580645,22.2964724,20.59371586,3.566150485,18.47330206,1.680267301,100
Inte kalavverkad,luckhuggning,30.1,19.09375,6.0875,0.265625,16.38563467,8.544699727,0.452934789,16.28611237,15.02786624,2.829276615,14.11794813,1.344972702,75
Inte kalavverkad,luckhuggning,40,21.97958333,7.105291667,0.3035775,18.88265734,9.734351717,0.505671992,18.2186293,16.83779756,3.383943597,15.85947867,1.536638075,85
Inte kalavverkad,luckhuggning,50,25.99833333,8.4835,0.347858333,21.57390949,11.12664991,0.56,19.78071095,18.57381322,3.733380551,17.80623279,1.824718325,95
Inte kalavverkad,luckhuggning,60,29.33333333,9.666666667,0.38,23.18426205,11.49889673,0.596875,20.10753022,18.95764055,4.009074805,19.61028064,2.038723312,100
Inte kalavverkad,luckhuggning,60.1,18.09375,6.0375,0.221375,17.91801874,8.682138039,0.430805087,14.37680023,13.60429504,3.213074707,15.10828745,1.65712619,75
Inte kalavverkad,luckhuggning,70,20.70458333,6.991958333,0.259023333,20.47990588,9.898582865,0.486874242,16.27082432,15.49843141,3.748557623,16.69993149,1.87719061,85
Inte kalavverkad,luckhuggning,80,23.71833333,8.17,0.302575,23.11998598,11.29431961,0.54,17.89294222,17.38880297,4.074725482,18.49310799,2,95
Inte kalavverkad,luckhuggning,90,27.7,9.28,0.34,24.46100146,11.65949844,0.589814815,18.51152596,17.93131395,4.328565771,20.16006484,2.361370774,100
Inte kalavverkad,luckhuggning,90.1,18.09375,6.0375,0.221375,17.91801874,8.682138039,0.430805087,14.37680023,13.60429504,3.213074707,15.10828745,1.65712619,75
Inte kalavverkad,luckhuggning,100,20.70458333,6.991958333,0.259023333,20.47990588,9.898582865,0.48,16.27082432,15.49843141,3.748557623,16.69993149,1.87719061,85
Inte kalavverkad,skärm,-7,32,10,0.6,19,11,0.7,25,23,3,17,1.3,100
Inte kalavverkad,skärm,0,32,10,0.6,19,11,0.7,25,23,3,17,1.3,100
Inte kalavverkad,skärm,0.1,21.85,7.34,0.25,10.8741573,6.337078652,0.2568,12.37078652,10.38202247,1.625,12.56629213,2.015730337,60
Inte kalavverkad,skärm,10,21.525,7.015,0.25,15.16666667,7.406060606,0.26975,12.40909091,11.36515152,2.55,12.07424242,1.024242424,65
Inte kalavverkad,skärm,10.1,8.6,3.04,0.111111111,11.2,4.8,0.072,5.2,5.2,1.64325,8.2,1.06,40
Inte kalavverkad,skärm,20,11.2,3.75,0.122222222,18.12,7.92,0.129,7.8,7.68,3.0093,12.72,2.142,60
Inte kalavverkad,skärm,20.1,10,3.25,0.077777778,16.5,7,0.0625,5.5,5,2.65655,11,1.875,50
Inte kalavverkad,skärm,30,18,6.3,0.139333333,28.8,11.7,0.243,10.35,9.9,5,22.5,1.08,90
Inte kalavverkad,skärm,40,23,8.625,0.148,36.8,14.95,0.39675,13.225,12.65,5.9,27.6,2.53,115
